time,approved,failed,denied,reversed,refunded,processing,backend_reversed
21h 08,99,,21,,,,
08h 16,185,,22,,,,
08h 19,182,,22,,,,
08h 29,188,,22,,,,
08h 33,200,,22,2,,,
08h 53,250,1,22,1,1,,
08h 58,247,,22,1,,,
09h 24,323,,22,1,,,
11h 20,377,,22,,1,,
12h 39,269,,22,1,,,
12h 40,259,,22,2,1,,
13h 34,302,,22,1,,,1
14h 00,289,,22,1,,,
15h 00,216,,22,83,1,2,2
15h 38,141,,22,52,3,5,7
16h 24,89,,22,67,1,2,6
18h 53,228,,22,5,2,,1
19h 36,191,,22,2,,,
19h 51,164,,22,,,,2
19h 52,158,,22,,,,
20h 04,162,,22,,1,,
20h 05,156,,22,1,1,,
20h 17,135,,22,2,1,,1
20h 28,133,,22,1,1,,
20h 50,121,,22,,,,
21h 16,110,,22,1,,,2
08h 06,128,,23,1,,,1
08h 30,190,,23,1,1,,1
08h 31,186,,23,3,2,,
08h 54,225,,23,1,,,
10h 23,344,,23,3,,,1
12h 24,306,,23,1,,,2
13h 01,280,,23,2,,,2
13h 07,280,,23,1,,,
13h 08,291,,23,2,,,
13h 30,303,,23,,1,,
13h 38,289,,23,1,,,
13h 39,274,,23,,,,
15h 43,41,,23,43,1,7,2
15h 49,138,,23,62,1,1,2
19h 12,177,,23,1,1,,
19h 17,189,,23,3,,,
19h 20,181,,23,3,1,,
19h 43,131,,23,3,1,,
20h 27,141,,23,1,,,
20h 31,138,,23,1,,,
21h 31,114,,23,,1,,
21h 33,95,,23,,,,
08h 25,180,,24,,,,1
08h 39,213,,24,1,,,
08h 40,209,,24,,,,
08h 48,222,,24,1,,,3
08h 56,255,,24,,,,
09h 03,260,,24,3,,,
09h 16,270,,24,1,1,,2
12h 00,339,1,24,1,,,
12h 13,336,,24,,,,1
12h 29,291,,24,2,2,,
12h 49,293,,24,1,,,
12h 51,274,,24,3,,,
13h 14,271,,24,1,2,,
13h 53,285,,24,1,,,
14h 03,317,,24,1,1,,1
14h 04,295,,24,2,,,
14h 11,323,,24,1,2,,
14h 14,310,,24,3,1,,
19h 15,191,,24,1,,,
19h 19,181,,24,3,,,
19h 25,175,,24,3,,,
19h 41,154,,24,1,,,
19h 58,153,,24,1,1,,
20h 37,128,,24,1,,,
08h 21,187,,25,,1,,
09h 02,231,,25,1,,,
09h 14,297,,25,3,,,1
12h 11,325,,25,5,,,
12h 18,308,,25,,,,
12h 34,310,,25,,1,,
12h 52,305,,25,3,,,
13h 00,294,,25,3,1,,3
13h 11,303,,25,4,,,
13h 20,300,,25,2,,,1
13h 55,279,,25,1,1,,
14h 02,269,,25,1,,,
17h 01,154,,25,18,,11,5
18h 01,140,,25,29,,,2
19h 26,174,,25,5,1,,
20h 08,147,,25,1,,,
20h 12,140,,25,1,,,
08h 49,235,,26,,,,1
08h 52,230,1,26,,,,
08h 55,227,,26,,1,,
09h 08,287,,26,,,,3
09h 11,266,,26,4,1,,
09h 21,313,,26,3,1,,
09h 32,295,,26,2,1,,
09h 53,362,,26,,,,1
11h 13,382,,26,1,,,1
11h 24,371,,26,3,1,,
12h 21,291,,26,1,1,,2
13h 02,296,,26,,1,,4
13h 24,283,,26,2,2,,
13h 36,285,,26,1,,,1
13h 43,296,,26,3,1,,
13h 59,300,,26,,1,,2
14h 09,299,,26,2,1,,
14h 13,285,,26,,3,,
16h 10,139,,26,80,3,2,5
16h 17,107,,26,66,1,1,4
